Month,Agency,Ridership
1/1/2008,MNR,6453734
2/1/2008,MNR,6144377
3/1/2008,MNR,6602280
4/1/2008,B&T,24900328
4/1/2008,MNR,6787480
5/1/2008,B&T,26172575
5/1/2008,MNR,6840901
6/1/2008,B&T,25940107
6/1/2008,MNR,7008657
7/1/2008,B&T,26189384
7/1/2008,MNR,7298152
8/1/2008,B&T,26448624
8/1/2008,MNR,6826968
9/1/2008,B&T,24633191
9/1/2008,MNR,6833215
10/1/2008,B&T,25258664
10/1/2008,MNR,7322841
11/1/2008,B&T,23914201
11/1/2008,MNR,6357900
12/1/2008,B&T,24218648
12/1/2008,MNR,6989977
1/1/2009,B&T,22260909
1/1/2009,MNR,6176035
2/1/2009,B&T,21497488
2/1/2009,MNR,5731571
3/1/2009,B&T,24295234
3/1/2009,MNR,6593183
4/1/2009,B&T,24839950
4/1/2009,MNR,6600645
5/1/2009,B&T,26019431
5/1/2009,MNR,6387435
6/1/2009,B&T,25847929
6/1/2009,MNR,6864270
7/1/2009,B&T,26152065
7/1/2009,MNR,6830791
8/1/2009,B&T,26084323
8/1/2009,MNR,6392629
9/1/2009,B&T,24838705
9/1/2009,MNR,6511692
10/1/2009,B&T,25300215
10/1/2009,MNR,6788990
11/1/2009,B&T,23898100
11/1/2009,MNR,6336672
12/1/2009,B&T,23775856
12/1/2009,MNR,6761648
1/1/2010,B&T,22601000
1/1/2010,MNR,5935008
2/1/2010,B&T,19389016
2/1/2010,MNR,5572064
3/1/2010,B&T,24782495
3/1/2010,MNR,6769641
4/1/2010,B&T,24845798
4/1/2010,MNR,6675241
5/1/2010,B&T,26252605
5/1/2010,MNR,6580762
6/1/2010,B&T,26218749
6/1/2010,MNR,6992372
7/1/2010,B&T,26250587
7/1/2010,MNR,6832493
8/1/2010,B&T,26468484
8/1/2010,MNR,6747243
9/1/2010,B&T,24895673
9/1/2010,MNR,6693644
10/1/2010,B&T,25745102
10/1/2010,MNR,6867305
11/1/2010,B&T,24276731
11/1/2010,MNR,6654086
12/1/2010,B&T,23232917
12/1/2010,MNR,6924465
1/1/2011,B&T,20667163
1/1/2011,MNR,5916958
2/1/2011,B&T,20416996
2/1/2011,MNR,5685834
3/1/2011,B&T,24217298
3/1/2011,MNR,6896269
4/1/2011,B&T,23862645
4/1/2011,MNR,6648157
5/1/2011,B&T,25431952
5/1/2011,MNR,6788759
6/1/2011,B&T,25570907
6/1/2011,MNR,7164508
7/1/2011,B&T,25760847
7/1/2011,MNR,6854351
8/1/2011,B&T,24569331
